Internship_ID,Company,Required_Field,Required_Skills,Location,Role
914,Flores Group,Architecture,Sustainable Architecture,Ibadan,Administrative Intern
915,Shelton-Singleton,Architecture,"Building Design, Sustainable Architecture, Urban Planning",Ibadan,Design Intern
916,Gonzalez and Sons,Computer Science,"Python, SQL, C++",Kano,Software Engineering Intern
917,Ford-Wilcox,Business Administration,"Finance, Marketing, Project Management",Aba,Finance Intern
918,Cohen LLC,Nursing Science,Anatomy,Benin City,Nursing Intern
919,"Anthony, Maldonado and Martin",Computer Science,SQL,Onitsha,Software Engineering Intern
920,Bell Ltd,Computer Science,"Python, Java",Kaduna,Software Engineering Intern
921,Acosta-Chan,Architecture,"Building Design, Urban Planning",Benin City,Design Intern
922,Brown-Parker,Medical Laboratory Science,Biochemistry,Enugu,Administrative Intern
923,"Wagner, Sharp and Cole",Computer Science,ML,Kano,Software Engineering Intern
924,Weber PLC,Electrical Engineering,Signal Processing,Kano,Electrical Engineering Intern
925,Lopez Group,Petroleum Engineering,"Drilling, Geophysics, Reservoir Engineering",Abuja,Petroleum Engineering Intern
926,"Robinson, Mosley and Crawford",Business Administration,"Finance, Project Management, Human Resources",Onitsha,HR Intern
927,Phillips Inc,Pharmacy,"Drug Design, Pharmacology, Chemistry",Ibadan,Design Intern
928,"Daniels, Hunt and Klein",Mechanical Engineering,Finite Element Analysis,Benin City,Mechanical Engineering Intern
929,"Graves, Yang and Miller",Medical Laboratory Science,Pathology,Aba,Administrative Intern
930,Hahn Ltd,Nursing Science,"Clinical Practice, Anatomy, Pharmacology",Port Harcourt,Nursing Intern
931,"Howard, Berry and Parker",Pharmacy,Pharmacology,Ibadan,Administrative Intern
932,"Norris, Hoffman and King",Medical Laboratory Science,"Microscopy, Biochemistry",Aba,Administrative Intern
933,Davis-Parker,Electrical Engineering,"Power Systems, Signal Processing, Embedded Systems",Aba,Electrical Engineering Intern
934,"Zamora, Cruz and Stephens",Computer Science,Python,Onitsha,Software Engineering Intern
935,Gutierrez PLC,Nursing Science,"Clinical Practice, Anatomy, Patient Care",Enugu,Nursing Intern
936,Rodriguez-Collier,Architecture,Building Design,Lagos,Design Intern
937,Parker-Nelson,Civil Engineering,"Construction Management, Structural Analysis, Surveying",Kano,Civil Engineering Intern
938,Phillips PLC,Architecture,"AutoCAD, Sustainable Architecture, Urban Planning",Kano,Administrative Intern
939,"Simpson, Summers and Johnson",Nursing Science,"Clinical Practice, Anatomy",Kaduna,Nursing Intern
940,Moreno-Ford,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Drilling",Kano,Petroleum Engineering Intern
941,Banks and Sons,Computer Science,"Java, Python",Kano,Software Engineering Intern
942,Moody-Taylor,Medical Laboratory Science,"Biochemistry, Lab Techniques",Benin City,Administrative Intern
943,"Martinez, Santiago and Baxter",Nursing Science,Anatomy,Lagos,Nursing Intern
944,"Hall, Patel and Huynh",Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Ibadan,Design Intern
945,Lane-Smith,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Drilling",Kano,Petroleum Engineering Intern
946,"Lyons, Washington and Diaz",Civil Engineering,"AutoCAD, Construction Management",Aba,Civil Engineering Intern
947,Pacheco-Howard,Computer Science,Python,Benin City,Software Engineering Intern
948,"Nelson, Silva and Patel",Computer Science,"SQL, Java, ML",Onitsha,Software Engineering Intern
949,Clements-Blackburn,Nursing Science,"Clinical Practice, Anatomy",Lagos,Nursing Intern
950,Page-Taylor,Petroleum Engineering,"Geophysics, Oil Field Operations",Kano,Petroleum Engineering Intern
951,Cox-Williams,Medical Laboratory Science,"Microscopy, Lab Techniques",Abuja,Administrative Intern
952,Tyler-Moore,Pharmacy,Pharmacology,Enugu,Administrative Intern
953,Goodwin-Neal,Nursing Science,Pharmacology,Kaduna,Nursing Intern
954,"Webb, Abbott and Sawyer",Civil Engineering,"Structural Analysis, Surveying, Construction Management",Enugu,Civil Engineering Intern
955,Olson Inc,Mechanical Engineering,"CAD, SolidWorks, MATLAB",Aba,Mechanical Engineering Intern
956,Hicks Group,Mechanical Engineering,MATLAB,Kaduna,Mechanical Engineering Intern
957,Cooper-Long,Petroleum Engineering,"Oil Field Operations, Geophysics, Reservoir Engineering",Port Harcourt,Petroleum Engineering Intern
958,Johnson Inc,Medical Laboratory Science,Biochemistry,Lagos,Administrative Intern
959,"Wallace, Vaughn and Tate",Pharmacy,Pharmacology,Onitsha,Administrative Intern
960,Olson-Gilbert,Architecture,"AutoCAD, Urban Planning, Sustainable Architecture",Kano,Administrative Intern
961,Willis Group,Electrical Engineering,"Signal Processing, Embedded Systems",Enugu,Electrical Engineering Intern
962,"Rodriguez, Turner and Jenkins",Medical Laboratory Science,"Lab Techniques, Microscopy, Pathology",Ibadan,Administrative Intern
963,Mercado and Sons,Computer Science,"SQL, Python",Abuja,Software Engineering Intern
964,Woods Inc,Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Ibadan,Mechanical Engineering Intern
965,Tanner PLC,Nursing Science,Anatomy,Kaduna,Nursing Intern
966,"Vasquez, Hawkins and Wilson",Civil Engineering,"Construction Management, AutoCAD, Structural Analysis",Enugu,Civil Engineering Intern
967,"Schroeder, Davis and Smith",Medical Laboratory Science,"Lab Techniques, Microscopy",Kaduna,Administrative Intern
968,Abbott-Shelton,Mechanical Engineering,"CAD, MATLAB, SolidWorks",Port Harcourt,Mechanical Engineering Intern
969,Torres-Hamilton,Pharmacy,Clinical Pharmacy,Kaduna,Administrative Intern
970,Munoz and Sons,Civil Engineering,"Construction Management, Structural Analysis, Surveying",Onitsha,Civil Engineering Intern
971,Rich Ltd,Computer Science,"Java, ML, C++",Kaduna,Software Engineering Intern
972,Rivas-Boyer,Petroleum Engineering,"Oil Field Operations, Drilling, Reservoir Engineering",Benin City,Petroleum Engineering Intern
973,Burnett Ltd,Electrical Engineering,"Circuit Design, Signal Processing, C++",Benin City,Electrical Engineering Intern
974,"Flores, Griffin and Love",Business Administration,"Marketing, Management, Human Resources",Port Harcourt,HR Intern
975,Campos-Davis,Petroleum Engineering,Reservoir Engineering,Ibadan,Petroleum Engineering Intern
976,Jensen-Warren,Electrical Engineering,C++,Abuja,Electrical Engineering Intern
977,"Owens, Smith and Nelson",Pharmacy,"Pharmacology, Clinical Pharmacy",Port Harcourt,Administrative Intern
978,Fitzgerald-Galvan,Nursing Science,Clinical Practice,Aba,Nursing Intern
979,"Callahan, Williams and Cole",Computer Science,"C++, ML",Ibadan,Software Engineering Intern
980,Crawford-Wilson,Business Administration,"Marketing, Management",Kano,Business Intern
981,Sheppard-Robinson,Electrical Engineering,Circuit Design,Port Harcourt,Electrical Engineering Intern
982,Gardner and Sons,Petroleum Engineering,"Oil Field Operations, Drilling",Benin City,Petroleum Engineering Intern
983,"Stephens, Thomas and Wright",Electrical Engineering,"Circuit Design, Power Systems",Abuja,Electrical Engineering Intern
984,Smith PLC,Civil Engineering,"Construction Management, Structural Analysis",Kaduna,Civil Engineering Intern
985,"Morris, Dean and Jordan",Civil Engineering,"AutoCAD, Structural Analysis",Kano,Civil Engineering Intern
986,"Kim, Reed and Sanchez",Petroleum Engineering,Drilling,Port Harcourt,Petroleum Engineering Intern
987,"Wright, Sanchez and Barnes",Mechanical Engineering,"MATLAB, CAD, Finite Element Analysis",Onitsha,Mechanical Engineering Intern
988,Parker-Morgan,Computer Science,Python,Port Harcourt,Software Engineering Intern
989,Gonzalez Inc,Pharmacy,Chemistry,Lagos,Administrative Intern
990,Hale Group,Nursing Science,Patient Care,Abuja,Nursing Intern
991,Bradshaw-Roberts,Medical Laboratory Science,Pathology,Kaduna,Administrative Intern
992,"Ramos, Todd and Horton",Architecture,"Urban Planning, Sustainable Architecture, Building Design",Abuja,Design Intern
993,"Marshall, Andrews and Marshall",Pharmacy,"Pharmacology, Clinical Pharmacy, Chemistry",Enugu,Administrative Intern
994,Mitchell PLC,Nursing Science,"Pharmacology, Clinical Practice, Anatomy",Port Harcourt,Nursing Intern
995,Smith Group,Mechanical Engineering,CAD,Enugu,Mechanical Engineering Intern
996,Brewer Ltd,Mechanical Engineering,"Finite Element Analysis, MATLAB, CAD",Kano,Mechanical Engineering Intern
997,"Villa, King and Davis",Mechanical Engineering,"CAD, Finite Element Analysis, MATLAB",Port Harcourt,Mechanical Engineering Intern
998,Jimenez-Ball,Petroleum Engineering,"Geophysics, Oil Field Operations",Enugu,Petroleum Engineering Intern
999,Robinson Ltd,Mechanical Engineering,"CAD, Finite Element Analysis, MATLAB",Onitsha,Mechanical Engineering Intern
1000,"Miller, Gonzalez and Coleman",Architecture,"Urban Planning, Building Design",Abuja,Design Intern
1001,Young PLC,Medical Laboratory Science,"Biochemistry, Lab Techniques, Pathology",Enugu,Administrative Intern
1002,"Mcclure, Henderson and Smith",Electrical Engineering,"Embedded Systems, Circuit Design",Abuja,Electrical Engineering Intern
1003,"Castro, Lamb and Garcia",Pharmacy,"Clinical Pharmacy, Chemistry",Lagos,Administrative Intern
1004,Weaver Group,Petroleum Engineering,"Reservoir Engineering, Drilling",Ibadan,Petroleum Engineering Intern
1005,Barnes Inc,Petroleum Engineering,Geophysics,Kaduna,Petroleum Engineering Intern
1006,"Frazier, Evans and Morgan",Mechanical Engineering,"MATLAB, SolidWorks, Finite Element Analysis",Enugu,Mechanical Engineering Intern
1007,Garcia-Morales,Electrical Engineering,"Signal Processing, C++, Embedded Systems",Lagos,Electrical Engineering Intern
1008,Buckley Group,Architecture,AutoCAD,Kano,Administrative Intern
1009,Maldonado Group,Architecture,AutoCAD,Onitsha,Administrative Intern
1010,Lawrence-Turner,Nursing Science,Pharmacology,Kano,Nursing Intern
1011,Mills PLC,Nursing Science,"Clinical Practice, Pharmacology",Port Harcourt,Nursing Intern
1012,Morse-Lee,Computer Science,"Java, SQL",Kaduna,Software Engineering Intern
1013,Woods-Edwards,Electrical Engineering,"Embedded Systems, Signal Processing, C++",Kano,Electrical Engineering Intern
1014,"Thomas, Mueller and Wilson",Business Administration,"Marketing, Human Resources, Management",Onitsha,HR Intern
1015,West-Price,Nursing Science,"Clinical Practice, Patient Care",Onitsha,Nursing Intern
1016,Turner-Bush,Nursing Science,"Anatomy, Patient Care",Abuja,Nursing Intern
1017,"Myers, Phillips and Brooks",Nursing Science,Anatomy,Kaduna,Nursing Intern
1018,Thompson Group,Civil Engineering,"AutoCAD, Surveying, Structural Analysis",Aba,Civil Engineering Intern
1019,"Costa, Alvarado and Nelson",Petroleum Engineering,"Oil Field Operations, Reservoir Engineering, Geophysics",Kaduna,Petroleum Engineering Intern
1020,Watson Inc,Medical Laboratory Science,"Microscopy, Lab Techniques",Enugu,Administrative Intern
1021,"Pearson, Johnson and Bailey",Architecture,Sustainable Architecture,Benin City,Administrative Intern
1022,Swanson Inc,Medical Laboratory Science,"Lab Techniques, Biochemistry, Pathology",Port Harcourt,Administrative Intern
1023,"Santos, Lowe and Smith",Nursing Science,Pharmacology,Abuja,Nursing Intern
1024,Stevens and Sons,Pharmacy,"Drug Design, Chemistry, Pharmacology",Port Harcourt,Design Intern
1025,"Wall, Rice and Hayes",Business Administration,"Management, Human Resources, Finance",Benin City,HR Intern
1026,Rivera PLC,Computer Science,"ML, Java, Python",Lagos,Software Engineering Intern
1027,Malone Group,Mechanical Engineering,"Finite Element Analysis, MATLAB, CAD",Ibadan,Mechanical Engineering Intern
1028,"King, Santos and Schmitt",Civil Engineering,"Surveying, AutoCAD",Lagos,Civil Engineering Intern
1029,"Rivera, Richards and Brown",Pharmacy,"Clinical Pharmacy, Chemistry, Drug Design",Onitsha,Design Intern
1030,"Cameron, Jackson and Walter",Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Aba,Petroleum Engineering Intern
1031,Walker Ltd,Medical Laboratory Science,Microscopy,Enugu,Administrative Intern
1032,Scott Group,Nursing Science,"Patient Care, Pharmacology, Clinical Practice",Aba,Nursing Intern
1033,Daniels PLC,Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Kano,Mechanical Engineering Intern
1034,"Johnson, Lamb and Austin",Nursing Science,"Patient Care, Anatomy",Abuja,Nursing Intern
1035,Morris-Wells,Medical Laboratory Science,Pathology,Onitsha,Administrative Intern
1036,Mack Inc,Architecture,"Urban Planning, Sustainable Architecture, Building Design",Lagos,Design Intern
1037,"Peterson, Ward and Brown",Pharmacy,Drug Design,Ibadan,Design Intern
1038,"Smith, Bell and Green",Civil Engineering,"Surveying, Structural Analysis",Enugu,Civil Engineering Intern
1039,Smith LLC,Nursing Science,Anatomy,Aba,Nursing Intern
1040,Baker-Evans,Nursing Science,"Pharmacology, Anatomy, Clinical Practice",Lagos,Nursing Intern
1041,Mills-Hill,Medical Laboratory Science,"Pathology, Biochemistry",Lagos,Administrative Intern
1042,Marshall-Stark,Electrical Engineering,C++,Onitsha,Electrical Engineering Intern
1043,Rodriguez-Atkinson,Civil Engineering,Structural Analysis,Ibadan,Civil Engineering Intern
1044,Garcia-Small,Computer Science,"SQL, C++",Kano,Software Engineering Intern
1045,Brown-Allen,Petroleum Engineering,Drilling,Ibadan,Petroleum Engineering Intern
1046,Black-Allison,Electrical Engineering,"Signal Processing, C++",Onitsha,Electrical Engineering Intern
1047,"Herman, Shields and Gonzalez",Nursing Science,Anatomy,Port Harcourt,Nursing Intern
1048,"Frank, Scott and Campos",Civil Engineering,"Structural Analysis, Surveying, AutoCAD",Enugu,Civil Engineering Intern
1049,Smith-Smith,Medical Laboratory Science,"Microscopy, Pathology",Kaduna,Administrative Intern
1050,Wallace-Griffin,Nursing Science,Anatomy,Aba,Nursing Intern
1051,Williams-David,Electrical Engineering,"Embedded Systems, Signal Processing, Power Systems",Ibadan,Electrical Engineering Intern
1052,Daniels and Sons,Nursing Science,"Clinical Practice, Patient Care",Benin City,Nursing Intern
1053,"Mendoza, Lang and Paul",Business Administration,"Marketing, Project Management",Lagos,Project Management Intern
1054,"Kirby, Smith and Ramirez",Petroleum Engineering,"Geophysics, Oil Field Operations",Port Harcourt,Petroleum Engineering Intern
1055,Stone Inc,Petroleum Engineering,"Oil Field Operations, Drilling, Reservoir Engineering",Aba,Petroleum Engineering Intern
1056,Hicks PLC,Nursing Science,Patient Care,Aba,Nursing Intern
1057,Anderson LLC,Medical Laboratory Science,"Pathology, Biochemistry",Kaduna,Administrative Intern
1058,Flores Inc,Nursing Science,"Pharmacology, Clinical Practice",Port Harcourt,Nursing Intern
1059,Farley-Parker,Architecture,"Building Design, Urban Planning, AutoCAD",Ibadan,Design Intern
1060,Elliott Inc,Computer Science,"C++, Java, SQL",Kano,Software Engineering Intern
1061,Reynolds-Wilkerson,Petroleum Engineering,"Reservoir Engineering, Drilling",Lagos,Petroleum Engineering Intern
1062,Torres Ltd,Medical Laboratory Science,"Biochemistry, Pathology",Onitsha,Administrative Intern
1063,Elliott-Nelson,Business Administration,"Project Management, Human Resources",Ibadan,HR Intern
1064,"Moran, Clark and Foley",Electrical Engineering,C++,Ibadan,Electrical Engineering Intern
1065,Wu Inc,Pharmacy,Drug Design,Kano,Design Intern
1066,"Taylor, Lane and Sims",Pharmacy,"Drug Design, Chemistry, Pharmacology",Port Harcourt,Design Intern
1067,"Fletcher, Reynolds and Pearson",Architecture,Urban Planning,Port Harcourt,Administrative Intern
1068,Mcknight Inc,Pharmacy,"Chemistry, Clinical Pharmacy",Aba,Administrative Intern
1069,"Johnson, Gray and Anderson",Architecture,"Sustainable Architecture, Building Design, Urban Planning",Benin City,Design Intern
1070,"Russell, Ford and Wilson",Medical Laboratory Science,"Pathology, Biochemistry, Lab Techniques",Kaduna,Administrative Intern
1071,"Henderson, Smith and Medina",Civil Engineering,"AutoCAD, Surveying, Construction Management",Kaduna,Civil Engineering Intern
1072,"Jackson, Smith and Thomas",Architecture,Sustainable Architecture,Aba,Administrative Intern
1073,"Vincent, Wilson and Allen",Business Administration,"Finance, Human Resources",Kano,HR Intern
1074,Smith Ltd,Nursing Science,"Clinical Practice, Anatomy",Kano,Nursing Intern
1075,Cowan-Gomez,Civil Engineering,"Surveying, Structural Analysis, Construction Management",Benin City,Civil Engineering Intern
1076,"Ward, Sharp and Wilson",Nursing Science,Clinical Practice,Onitsha,Nursing Intern
1077,Williams Inc,Civil Engineering,Structural Analysis,Kaduna,Civil Engineering Intern
1078,"Holmes, Guerrero and Berry",Architecture,"Urban Planning, AutoCAD",Kano,Administrative Intern
1079,Sanders Inc,Petroleum Engineering,"Drilling, Geophysics",Onitsha,Petroleum Engineering Intern
1080,"Smith, Martinez and Davis",Architecture,"Sustainable Architecture, Building Design, AutoCAD",Port Harcourt,Design Intern
1081,Harris Inc,Pharmacy,"Pharmacology, Drug Design, Clinical Pharmacy",Benin City,Design Intern
1082,Page Ltd,Business Administration,Management,Aba,Business Intern
1083,"Jackson, Valdez and Johnson",Computer Science,"SQL, Python, Java",Enugu,Software Engineering Intern
1084,"Hawkins, Brooks and Craig",Pharmacy,Drug Design,Lagos,Design Intern
1085,Merritt Ltd,Nursing Science,Patient Care,Ibadan,Nursing Intern
1086,Perez LLC,Architecture,"Sustainable Architecture, AutoCAD, Building Design",Port Harcourt,Design Intern
1087,"Lee, Wood and Anderson",Architecture,"Urban Planning, Sustainable Architecture",Onitsha,Administrative Intern
1088,Rivera-Walker,Civil Engineering,"Structural Analysis, AutoCAD, Surveying",Enugu,Civil Engineering Intern
1089,"Hall, Weaver and Thompson",Mechanical Engineering,"SolidWorks, Finite Element Analysis, MATLAB",Enugu,Mechanical Engineering Intern
1090,Frank Ltd,Architecture,Urban Planning,Kano,Administrative Intern
1091,Kim PLC,Computer Science,Python,Lagos,Software Engineering Intern
1092,Todd Inc,Civil Engineering,AutoCAD,Onitsha,Civil Engineering Intern
1093,Mendoza PLC,Computer Science,"SQL, ML",Lagos,Software Engineering Intern
1094,Warren Ltd,Civil Engineering,"Construction Management, Surveying",Kano,Civil Engineering Intern
1095,Cox Ltd,Petroleum Engineering,"Drilling, Geophysics",Kaduna,Petroleum Engineering Intern
1096,"Schmidt, Marshall and Garcia",Nursing Science,Anatomy,Kano,Nursing Intern
1097,Clark-Mckinney,Architecture,AutoCAD,Kano,Administrative Intern
1098,Gonzales and Sons,Architecture,"Sustainable Architecture, Building Design",Port Harcourt,Design Intern
1099,Wise Group,Business Administration,"Project Management, Finance",Benin City,Finance Intern
1100,Knight Ltd,Architecture,"Building Design, Sustainable Architecture, Urban Planning",Enugu,Design Intern
1101,York-Lopez,Pharmacy,"Clinical Pharmacy, Drug Design, Chemistry",Enugu,Design Intern
1102,Nichols-Green,Business Administration,"Human Resources, Finance",Kaduna,HR Intern
1103,"Turner, Nixon and Bruce",Petroleum Engineering,"Geophysics, Drilling, Oil Field Operations",Kaduna,Petroleum Engineering Intern
1104,"Francis, Webb and Fritz",Computer Science,ML,Lagos,Software Engineering Intern
1105,Cruz-Scott,Civil Engineering,Construction Management,Ibadan,Civil Engineering Intern
1106,"Gomez, Robinson and Bullock",Nursing Science,"Pharmacology, Anatomy",Enugu,Nursing Intern
1107,"Chen, Robinson and Stewart",Electrical Engineering,"Power Systems, Circuit Design",Onitsha,Electrical Engineering Intern
1108,Williamson-Johnson,Medical Laboratory Science,"Lab Techniques, Microscopy, Biochemistry",Onitsha,Administrative Intern
1109,"Barrett, Olsen and Hernandez",Computer Science,"ML, C++, Java",Enugu,Software Engineering Intern
1110,Fernandez and Sons,Architecture,"Urban Planning, AutoCAD, Building Design",Port Harcourt,Design Intern
1111,"Cohen, Noble and Jackson",Mechanical Engineering,"CAD, Finite Element Analysis",Benin City,Mechanical Engineering Intern
1112,Best and Sons,Electrical Engineering,"C++, Signal Processing, Embedded Systems",Ibadan,Electrical Engineering Intern
1113,"Johnson, Warner and Sanchez",Civil Engineering,Surveying,Kaduna,Civil Engineering Intern
1114,Haas Inc,Pharmacy,Clinical Pharmacy,Kaduna,Administrative Intern
1115,Andrews-Pierce,Pharmacy,Chemistry,Kaduna,Administrative Intern
1116,"Hall, Sims and Bowen",Computer Science,"C++, Java",Lagos,Software Engineering Intern
1117,Olson-Braun,Medical Laboratory Science,Lab Techniques,Benin City,Administrative Intern
1118,Wong Group,Computer Science,"Java, SQL, ML",Ibadan,Software Engineering Intern
1119,Clayton Inc,Computer Science,ML,Onitsha,Software Engineering Intern
1120,Alvarez-Ball,Computer Science,"ML, Java",Enugu,Software Engineering Intern
1121,Carpenter Ltd,Petroleum Engineering,Oil Field Operations,Enugu,Petroleum Engineering Intern
1122,Brown Group,Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Ibadan,Design Intern
1123,Rodriguez Inc,Mechanical Engineering,"Finite Element Analysis, SolidWorks",Ibadan,Mechanical Engineering Intern
1124,Collins-Wallace,Business Administration,Human Resources,Kano,HR Intern
1125,"Nelson, Miller and Patton",Architecture,Urban Planning,Enugu,Administrative Intern
1126,"Jordan, Long and Anderson",Nursing Science,Pharmacology,Kano,Nursing Intern
1127,"Smith, King and Miller",Electrical Engineering,"Embedded Systems, Power Systems",Ibadan,Electrical Engineering Intern
1128,"Davenport, Carter and Stewart",Nursing Science,"Clinical Practice, Patient Care",Lagos,Nursing Intern
1129,Gonzalez and Sons,Nursing Science,"Pharmacology, Patient Care, Clinical Practice",Kaduna,Nursing Intern
1130,Thornton-Daniels,Medical Laboratory Science,"Microscopy, Biochemistry, Lab Techniques",Lagos,Administrative Intern
1131,"Martinez, Morgan and Taylor",Electrical Engineering,"Circuit Design, Power Systems",Ibadan,Electrical Engineering Intern
1132,"Potter, Smith and Moore",Nursing Science,"Anatomy, Clinical Practice",Lagos,Nursing Intern
1133,Smith-Bray,Petroleum Engineering,"Oil Field Operations, Reservoir Engineering",Port Harcourt,Petroleum Engineering Intern
1134,"Hess, James and Howard",Nursing Science,"Pharmacology, Patient Care",Onitsha,Nursing Intern
1135,"Henson, Schwartz and Ford",Architecture,Building Design,Enugu,Design Intern
1136,Roth PLC,Computer Science,"Java, Python, C++",Ibadan,Software Engineering Intern
1137,Bolton Ltd,Pharmacy,"Clinical Pharmacy, Pharmacology, Chemistry",Port Harcourt,Administrative Intern
1138,Jones-Vazquez,Computer Science,"ML, C++",Onitsha,Software Engineering Intern
1139,Castillo LLC,Medical Laboratory Science,Biochemistry,Enugu,Administrative Intern
1140,Jenkins-Munoz,Computer Science,Java,Lagos,Software Engineering Intern
1141,Campbell-Nichols,Computer Science,SQL,Port Harcourt,Software Engineering Intern
1142,Smith-Yates,Architecture,"Urban Planning, Building Design",Ibadan,Design Intern
1143,Hughes LLC,Pharmacy,Clinical Pharmacy,Onitsha,Administrative Intern
1144,Foster LLC,Computer Science,"Java, C++, ML",Abuja,Software Engineering Intern
1145,Murray LLC,Mechanical Engineering,"SolidWorks, CAD",Port Harcourt,Mechanical Engineering Intern
1146,Howard and Sons,Architecture,"AutoCAD, Urban Planning, Building Design",Port Harcourt,Design Intern
1147,Harris-Hart,Mechanical Engineering,"SolidWorks, MATLAB, Finite Element Analysis",Kano,Mechanical Engineering Intern
1148,Mendoza-Arellano,Mechanical Engineering,"SolidWorks, CAD, MATLAB",Benin City,Mechanical Engineering Intern
1149,Smith Inc,Pharmacy,Chemistry,Lagos,Administrative Intern
1150,Gilbert and Sons,Petroleum Engineering,Geophysics,Lagos,Petroleum Engineering Intern
1151,Aguirre Ltd,Medical Laboratory Science,"Microscopy, Pathology",Lagos,Administrative Intern
1152,"Miller, Gomez and Shaffer",Medical Laboratory Science,Biochemistry,Ibadan,Administrative Intern
1153,"Ford, Smith and Nelson",Petroleum Engineering,"Drilling, Reservoir Engineering, Oil Field Operations",Aba,Petroleum Engineering Intern
1154,Hernandez-Jordan,Nursing Science,"Anatomy, Clinical Practice",Enugu,Nursing Intern
1155,Moran Inc,Mechanical Engineering,"MATLAB, SolidWorks",Benin City,Mechanical Engineering Intern
1156,Russell-Jones,Architecture,Sustainable Architecture,Ibadan,Administrative Intern
1157,Lawrence-Martinez,Petroleum Engineering,"Oil Field Operations, Reservoir Engineering, Drilling",Ibadan,Petroleum Engineering Intern
1158,"Bradley, Miller and Scott",Computer Science,C++,Kano,Software Engineering Intern
1159,"Mccoy, Mclaughlin and Perez",Business Administration,Finance,Abuja,Finance Intern
1160,Sharp PLC,Electrical Engineering,Embedded Systems,Abuja,Electrical Engineering Intern
1161,"Young, Nguyen and Rush",Electrical Engineering,Power Systems,Kaduna,Electrical Engineering Intern
1162,"Simpson, Goodman and Taylor",Computer Science,"SQL, Java, ML",Kano,Software Engineering Intern
1163,"Bonilla, Cook and Brown",Medical Laboratory Science,"Microscopy, Pathology, Biochemistry",Aba,Administrative Intern
1164,Wilson-Green,Mechanical Engineering,"SolidWorks, MATLAB, CAD",Lagos,Mechanical Engineering Intern
1165,"Lopez, Collins and Petty",Electrical Engineering,"Embedded Systems, Power Systems",Onitsha,Electrical Engineering Intern
1166,Perry Group,Computer Science,"Java, ML, SQL",Aba,Software Engineering Intern
1167,"Morris, Howe and Hawkins",Business Administration,"Finance, Management",Ibadan,Finance Intern
1168,"Brewer, Aguirre and Jones",Medical Laboratory Science,"Microscopy, Pathology, Lab Techniques",Kaduna,Administrative Intern
1169,"Giles, Davidson and Hanna",Medical Laboratory Science,Lab Techniques,Lagos,Administrative Intern
1170,Green-Brooks,Electrical Engineering,"Signal Processing, Embedded Systems",Port Harcourt,Electrical Engineering Intern
1171,Perez-Hamilton,Computer Science,"ML, Python",Aba,Software Engineering Intern
1172,Bauer-Freeman,Pharmacy,Clinical Pharmacy,Onitsha,Administrative Intern
1173,Gonzalez-Farmer,Nursing Science,"Pharmacology, Patient Care",Aba,Nursing Intern
1174,Brown Ltd,Petroleum Engineering,Geophysics,Kano,Petroleum Engineering Intern
1175,Hampton-Morris,Business Administration,Marketing,Onitsha,Business Intern
1176,Anderson-Adams,Medical Laboratory Science,"Microscopy, Lab Techniques, Pathology",Aba,Administrative Intern
1177,"Lam, Francis and Webb",Nursing Science,"Pharmacology, Anatomy, Clinical Practice",Onitsha,Nursing Intern
1178,Lee-Thompson,Civil Engineering,"Construction Management, Structural Analysis, AutoCAD",Benin City,Civil Engineering Intern
1179,"Kelly, Beasley and Jackson",Mechanical Engineering,"SolidWorks, Finite Element Analysis, CAD",Benin City,Mechanical Engineering Intern
1180,Johnson LLC,Electrical Engineering,Embedded Systems,Ibadan,Electrical Engineering Intern
1181,Bowers-Moore,Architecture,"Urban Planning, Sustainable Architecture",Aba,Administrative Intern
1182,Cruz-Adams,Civil Engineering,"Construction Management, Structural Analysis, AutoCAD",Onitsha,Civil Engineering Intern
1183,"Stephens, Fields and Heath",Petroleum Engineering,"Reservoir Engineering, Geophysics",Abuja,Petroleum Engineering Intern
1184,Kelley Group,Medical Laboratory Science,"Biochemistry, Microscopy, Pathology",Ibadan,Administrative Intern
1185,Khan-Holden,Medical Laboratory Science,Pathology,Abuja,Administrative Intern
1186,"Martinez, Moore and Garcia",Business Administration,Management,Abuja,Business Intern
1187,Gutierrez Inc,Mechanical Engineering,"MATLAB, SolidWorks, Finite Element Analysis",Kaduna,Mechanical Engineering Intern
1188,"Sanders, Landry and Snow",Electrical Engineering,"Circuit Design, Power Systems",Onitsha,Electrical Engineering Intern
1189,Wallace-Williams,Architecture,"Urban Planning, AutoCAD, Sustainable Architecture",Ibadan,Administrative Intern
1190,Barry-Martin,Mechanical Engineering,SolidWorks,Lagos,Mechanical Engineering Intern
1191,Garcia Ltd,Computer Science,"C++, Java",Lagos,Software Engineering Intern
1192,Hernandez-Peterson,Computer Science,C++,Onitsha,Software Engineering Intern
1193,"Khan, Robles and Melton",Architecture,"AutoCAD, Urban Planning, Building Design",Kano,Design Intern
1194,"Wagner, Moore and Thomas",Architecture,"Sustainable Architecture, AutoCAD",Port Harcourt,Administrative Intern
1195,Stewart Group,Nursing Science,Patient Care,Benin City,Nursing Intern
